oui,isPrivate,companyName,companyAddress,countryCode,assignmentBlockSize,dateCreated,dateUpdated
00:00:E4,0,In2 Groupe Intertechnique,,,MA-L,2026-07-05,2026-07-05
00:00:E5,0,Sigmex Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:E6,0,Aptor Produits De Comm Indust,,,MA-L,2026-07-05,2026-07-05
00:00:E7,0,Star Gate Technologies,,,MA-L,2026-07-05,2026-07-05
00:00:E8,0,Accton Technology Corp.,,,MA-L,2026-07-05,2026-07-05
00:00:E9,0,"Isicad, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:EA,0,Upnod Ab,,,MA-L,2026-07-05,2026-07-05
00:00:EB,0,Matsushita Comm. Ind. Co. Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:EC,0,Microprocess,,,MA-L,2026-07-05,2026-07-05
00:00:ED,0,April,,,MA-L,2026-07-05,2026-07-05
00:00:EE,0,"Network Designers, Ltd.",,,MA-L,2026-07-05,2026-07-05
00:00:EF,0,Kti,,,MA-L,2026-07-05,2026-07-05
00:00:F0,0,"Samsung Electronics Co.,Ltd",,,MA-L,2026-07-05,2026-07-05
00:00:F1,0,Magna Computer Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:F2,0,Spider Communications,,,MA-L,2026-07-05,2026-07-05
00:00:F3,0,Gandalf Data Limited,,,MA-L,2026-07-05,2026-07-05
00:00:F4,0,"Allied Telesis, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:F5,0,Diamond Sales Limited,,,MA-L,2026-07-05,2026-07-05
00:00:F6,0,Applied Microsystems Corp.,,,MA-L,2026-07-05,2026-07-05
00:00:F7,0,Youth Keep Enterprise Co Ltd,,,MA-L,2026-07-05,2026-07-05
00:00:F8,0,Digital Equipment Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:F9,0,Quotron Systems Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:FA,0,Microsage Computer Systems Inc,,,MA-L,2026-07-05,2026-07-05
00:00:FB,0,Rechner Zur Kommunikation,,,MA-L,2026-07-05,2026-07-05
00:00:FC,0,Meiko,,,MA-L,2026-07-05,2026-07-05
00:00:FD,0,High Level Hardware,,,MA-L,2026-07-05,2026-07-05
00:00:FE,0,"Annapolis Micro Systems, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:FF,0,Camtec Electronics Ltd.,,,MA-L,2026-07-05,2026-07-05
00:01:00,0,Equip'Trans,,,MA-L,2026-07-05,2026-07-05
00:01:01,0,Private,,,MA-L,2026-07-05,2026-07-05
00:01:02,0,3Com,,,MA-L,2026-07-05,2026-07-05
00:01:03,0,3Com,,,MA-L,2026-07-05,2026-07-05
00:01:04,0,"DVICO Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:01:05,0,Beckhoff Automation GmbH,,,MA-L,2026-07-05,2026-07-05
00:01:06,0,Tews Datentechnik GmbH,,,MA-L,2026-07-05,2026-07-05
00:01:07,0,Leiser GmbH,,,MA-L,2026-07-05,2026-07-05
00:01:08,0,"AVLAB Technology, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:09,0,"Nagano Japan Radio Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:01:0A,0,Cis Technology Inc.,,,MA-L,2026-07-05,2026-07-05
00:01:0B,0,"Space CyberLink, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:0C,0,System Talks Inc.,,,MA-L,2026-07-05,2026-07-05
00:01:0D,0,Teledyne DALSA Inc.,,,MA-L,2026-07-05,2026-07-05
00:01:0E,0,"Bri-Link Technologies Co., Ltd",,,MA-L,2026-07-05,2026-07-05
00:01:0F,0,Brocade Communications Systems LLC,,,MA-L,2026-07-05,2026-07-05
00:01:10,0,Gotham Networks,,,MA-L,2026-07-05,2026-07-05
00:01:11,0,iDigm Inc.,,,MA-L,2026-07-05,2026-07-05
00:01:12,0,Shark Multimedia Inc.,,,MA-L,2026-07-05,2026-07-05
00:01:13,0,Olympus Corporation,,,MA-L,2026-07-05,2026-07-05
00:01:14,0,"Kanda Tsushin Kogyo Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:01:15,0,Extratech Corporation,,,MA-L,2026-07-05,2026-07-05
00:01:16,0,"Netspect Technologies, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:17,0,Canal +,,,MA-L,2026-07-05,2026-07-05
00:01:18,0,"EZ Digital Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:01:19,0,RTUnet (Australia),,,MA-L,2026-07-05,2026-07-05
00:01:1A,0,Hoffmann und Burmeister GbR,,,MA-L,2026-07-05,2026-07-05
00:01:1B,0,"Unizone Technologies, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:1C,0,Universal Talkware Corporation,,,MA-L,2026-07-05,2026-07-05
00:01:1D,0,Centillium Communications,,,MA-L,2026-07-05,2026-07-05
00:01:1E,0,"Precidia Technologies, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:1F,0,"RC Networks, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:20,0,Oscilloquartz S.A.,,,MA-L,2026-07-05,2026-07-05
00:01:21,0,"WatchGuard Technologies, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:22,0,"Trend Communications, Ltd.",,,MA-L,2026-07-05,2026-07-05
00:01:23,0,Schneider Electric Japan Holdings Ltd.,,,MA-L,2026-07-05,2026-07-05
00:01:24,0,Acer Incorporated,,,MA-L,2026-07-05,2026-07-05
00:01:25,0,"Yaesu Musen Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:01:26,0,PAC Labs,,,MA-L,2026-07-05,2026-07-05
00:01:27,0,OPEN Networks Pty Ltd,,,MA-L,2026-07-05,2026-07-05
00:01:28,0,"EnjoyWeb, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:29,0,DFI Inc.,,,MA-L,2026-07-05,2026-07-05
00:01:2A,0,Telematica Sistems Inteligente,,,MA-L,2026-07-05,2026-07-05
00:01:2B,0,"TELENET Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:01:2C,0,"Aravox Technologies, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:2D,0,Komodo Technology,,,MA-L,2026-07-05,2026-07-05
00:01:2E,0,PC Partner Ltd.,,,MA-L,2026-07-05,2026-07-05
00:01:2F,0,Twinhead International Corp,,,MA-L,2026-07-05,2026-07-05
00:01:30,0,"Extreme Networks, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:31,0,"Bosch Security Systems, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:32,0,Dranetz - BMI,,,MA-L,2026-07-05,2026-07-05
00:01:33,0,KYOWA Electronic Instruments C,,,MA-L,2026-07-05,2026-07-05
00:01:34,0,Selectron Systems AG,,,MA-L,2026-07-05,2026-07-05
00:01:35,0,KDC Corp.,,,MA-L,2026-07-05,2026-07-05
00:01:36,0,CyberTAN Technology Inc.,,,MA-L,2026-07-05,2026-07-05
00:01:37,0,IT Farm Corporation,,,MA-L,2026-07-05,2026-07-05
00:01:38,0,XAVi Technologies Corp.,,,MA-L,2026-07-05,2026-07-05
00:01:39,0,Point Multimedia Systems,,,MA-L,2026-07-05,2026-07-05
00:01:3A,0,"Shelcad Communications, Ltd.",,,MA-L,2026-07-05,2026-07-05
00:01:3B,0,Bna Systems,,,MA-L,2026-07-05,2026-07-05
00:01:3C,0,Tiw Systems,,,MA-L,2026-07-05,2026-07-05
00:01:3D,0,RiscStation Ltd.,,,MA-L,2026-07-05,2026-07-05
00:01:3E,0,Ascom Tateco AB,,,MA-L,2026-07-05,2026-07-05
00:01:3F,0,"Neighbor World Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:01:40,0,Sendtek Corporation,,,MA-L,2026-07-05,2026-07-05
00:01:41,0,Cable Print,,,MA-L,2026-07-05,2026-07-05
00:01:42,0,"Cisco Systems, Inc",,,MA-L,2026-07-05,2026-07-05
00:01:43,0,"Cisco Systems, Inc",,,MA-L,2026-07-05,2026-07-05
00:01:44,0,Dell EMC,,,MA-L,2026-07-05,2026-07-05
00:01:45,0,"Winsystems, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:46,0,"Tesco Controls, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:47,0,"Zhone Technologies, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:48,0,X-traWeb Inc.,,,MA-L,2026-07-05,2026-07-05
00:01:49,0,Tdt Ag,,,MA-L,2026-07-05,2026-07-05
00:01:4A,0,Sony Corporation,,,MA-L,2026-07-05,2026-07-05
00:01:4B,0,"Ennovate Networks, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:4C,0,Berkeley Process Control,,,MA-L,2026-07-05,2026-07-05
00:01:4D,0,"Shin Kin Enterprises Co., Ltd",,,MA-L,2026-07-05,2026-07-05
00:01:4E,0,"WIN Enterprises, Inc.",,,MA-L,2026-07-05,2026-07-05
00:01:4F,0,Adtran Inc,,,MA-L,2026-07-05,2026-07-05
